prompt,sql,user_grouping
Which country had the highest population in 2023?,"SELECT country_name, midyear_population
FROM census_bureau_international.midyear_population
WHERE year = 2022
ORDER BY midyear_population DESC
LIMIT 1",WorldCensus-cloudsql-pg
List 10 countries with highest fertility rate,"SELECT country_name, total_fertility_rate
FROM census_bureau_international.age_specific_fertility_rates
WHERE year = 2023
ORDER BY total_fertility_rate DESC
LIMIT 10
",WorldCensus-cloudsql-pg
What is the life expectancy for men and women in a United States and 2022?,"SELECT country_name, life_expectancy_male, life_expectancy_female
FROM census_bureau_international.mortality_life_expectancy
WHERE country_name = 'United States' AND year = 2022",WorldCensus-cloudsql-pg
Which countries had the highest and lowest infant mortality rates in 2023?,"WITH RankedInfantMortality AS (
  SELECT
    country_name,
    infant_mortality,
    RANK() OVER (ORDER BY infant_mortality ASC) AS LowestRank,
    RANK() OVER (ORDER BY infant_mortality DESC) AS HighestRank
  FROM census_bureau_international.mortality_life_expectancy
  WHERE year = 2023
)
SELECT country_name, infant_mortality
FROM RankedInfantMortality
WHERE LowestRank = 1 OR HighestRank = 1;",WorldCensus-cloudsql-pg
What is the population distribution by age and sex in India for 2023?,"SELECT age, sex, population
FROM census_bureau_international.midyear_population_agespecific
WHERE country_name = 'United States' AND year = 2023",WorldCensus-cloudsql-pg
What is the sex ratio at birth for China in 2023?,"SELECT country_name, sex_ratio_at_birth, year
FROM census_bureau_international.age_specific_fertility_rates
WHERE country_name = 'China' AND year = 2023",WorldCensus-cloudsql-pg
What is the world average sex ratio at birth in 2023?,"SELECT AVG(sex_ratio_at_birth) AS world_avg_sex_ratio_at_birth
FROM census_bureau_international.age_specific_fertility_rates
WHERE year = 2023 AND sex_ratio_at_birth IS NOT NULL;",WorldCensus-cloudsql-pg
Which country has the highest boy to girl ratio at birth in 2023?,"SELECT country_name, sex_ratio_at_birth
FROM census_bureau_international.age_specific_fertility_rates
WHERE year = 2023
  AND sex_ratio_at_birth IS NOT NULL
ORDER BY sex_ratio_at_birth DESC
LIMIT 1;",WorldCensus-cloudsql-pg
What are the top 10 counties with lowest mortality rate of children under 5 in 2022?,"SELECT country_name, mortality_rate_under5
FROM census_bureau_international.mortality_life_expectancy
WHERE year = 2023
ORDER BY mortality_rate_under5 ASC
LIMIT 10",WorldCensus-cloudsql-pg
"What were the birth, death, and growth rates in SIngapore between 2019-2024?","SELECT year, crude_birth_rate, crude_death_rate, growth_rate
FROM census_bureau_international.birth_death_growth_rates
WHERE country_name = 'Singapore' AND year BETWEEN 2019 AND 2024",WorldCensus-cloudsql-pg
"In 2023, what was the  population for countries with a population growth rate above 3%?","SELECT mp.midyear_population as Population, mp.country_name, bdg.growth_rate
FROM census_bureau_international.midyear_population mp
JOIN census_bureau_international.birth_death_growth_rates bdg ON mp.country_code = bdg.country_code AND mp.year = bdg.year
WHERE bdg.year = 2023 AND bdg.growth_rate > 3;",WorldCensus-cloudsql-pg
What are the top 3 countries with the highest midyear populations in 2024 and their respective land areas?,"SELECT mp.country_name, mp.midyear_population, cna.country_area
FROM census_bureau_international.midyear_population mp
JOIN census_bureau_international.country_names_area cna ON mp.country_code = cna.country_code
WHERE mp.year = 2023
ORDER BY mp.midyear_population DESC
LIMIT 3;",WorldCensus-cloudsql-pg
What are the top 5 coutries with highest population density in 2024? ,"SELECT mp.country_name,
       mp.midyear_population / cna.country_area AS population_density_persqkm
FROM census_bureau_international.midyear_population mp
JOIN census_bureau_international.country_names_area cna ON mp.country_code = cna.country_code
WHERE mp.year = 2024 AND cna.country_area > 0 -- Exclude countries with zero or null area
ORDER BY population_density_persqkm DESC
LIMIT 5;",WorldCensus-cloudsql-pg
Which country has highest male life expectancy?,"SELECT country_name, life_expectancy_male
FROM census_bureau_international.mortality_life_expectancy
WHERE year = 2022 -- Assuming you want the data for the year 2022
ORDER BY life_expectancy_male DESC
LIMIT 1;",WorldCensus-cloudsql-pg
What are the birth and death rates of the top 5 densest countries in 2024?,"SELECT bdg.country_name, bdg.crude_birth_rate, bdg.crude_death_rate, population_density_persqkm
FROM census_bureau_international.birth_death_growth_rates bdg
JOIN (
    SELECT mp.country_code, mp.midyear_population / cna.country_area as population_density_persqkm
    FROM census_bureau_international.midyear_population mp
    JOIN census_bureau_international.country_names_area cna ON mp.country_code = cna.country_code
    WHERE mp.year = 2024 AND cna.country_area > 0
    ORDER BY mp.midyear_population / cna.country_area DESC
    LIMIT 5
) top_countries ON bdg.country_code = top_countries.country_code
WHERE bdg.year = 2024;",WorldCensus-cloudsql-pg